iter	MultiClass	Accuracy
814	0.9822810219	0.6973333333
815	0.9817946661	0.6976
816	0.9811496955	0.6975333333
817	0.9805744899	0.6982
818	0.9802026121	0.6985333333
819	0.9796824089	0.6984666667
820	0.9792341652	0.6987333333
821	0.9789973764	0.6992
822	0.9785711096	0.6994666667
823	0.977949738	0.7004666667
824	0.9773964228	0.7006
825	0.9768198668	0.7004
826	0.9763861011	0.7
827	0.9759676992	0.7
828	0.9755991141	0.7001333333
829	0.9752463654	0.7003333333
830	0.9747081351	0.7004666667
831	0.9740542614	0.7011333333
832	0.9735417272	0.7014
833	0.9731286034	0.7016666667
834	0.9726763213	0.7015333333
835	0.972184971	0.7022
836	0.9718431091	0.7022666667
837	0.9715735058	0.7028
838	0.9711577217	0.7026666667
839	0.9707959057	0.7024
840	0.9703514011	0.7026666667
841	0.9699520496	0.7032
842	0.9696951114	0.7034666667
843	0.9690549818	0.7039333333
844	0.9685595773	0.7041333333
845	0.9681025283	0.7040666667
846	0.9675925481	0.7040666667
847	0.9674087067	0.7042
848	0.9669631341	0.7044666667
849	0.9665888085	0.7047333333
850	0.9662625911	0.7048666667
851	0.9660192403	0.7052
852	0.9654671845	0.7056666667
853	0.964902241	0.7052
854	0.9645547689	0.7054
855	0.9641009724	0.7058666667
856	0.9636151511	0.7061333333
857	0.9632212949	0.7060666667
858	0.9629628211	0.706
859	0.962630894	0.7062666667
860	0.9624152189	0.7067333333
861	0.9621125671	0.7068666667
862	0.9618929066	0.7071333333
863	0.9617390143	0.7070666667
864	0.9612288532	0.7072
865	0.9606249993	0.7071333333
866	0.96038376	0.7070666667
867	0.9600629319	0.7073333333
868	0.9597343843	0.7078
869	0.9592737051	0.7078
870	0.9588927137	0.7082
871	0.95853839	0.7082666667
872	0.9582222592	0.7085333333
873	0.957813956	0.7088666667
874	0.9574146055	0.7088
875	0.9571520731	0.7089333333
876	0.9566042508	0.7093333333
877	0.9561164268	0.7098666667
878	0.9556140512	0.7100666667
879	0.9552581651	0.7108
880	0.9548330138	0.7106666667
881	0.9545583165	0.7109333333
882	0.954105168	0.7114
883	0.9534867816	0.7110666667
884	0.953249678	0.7116
885	0.9527355517	0.712
886	0.952153403	0.7121333333
887	0.9516814259	0.7124
888	0.95105745	0.7128
889	0.9504779973	0.7131333333
890	0.9500547392	0.7134
891	0.949670915	0.7137333333
892	0.9490898439	0.7144666667
893	0.9487251153	0.7140666667
894	0.9482671473	0.7144
895	0.9477324076	0.7145333333
896	0.9472423412	0.7150666667
897	0.946879933	0.7153333333
898	0.9466787544	0.7152666667
899	0.9463937797	0.7154666667
900	0.9459778091	0.7151333333
901	0.945546584	0.7152666667
902	0.9449156171	0.7160666667
903	0.9445496701	0.7162
904	0.944136123	0.7166666667
905	0.9439433529	0.7169333333
906	0.9434710075	0.7170666667
907	0.94304356	0.7172666667
908	0.9425402485	0.7166666667
909	0.9420022384	0.7169333333
910	0.9415906878	0.7170666667
911	0.9412336698	0.7173333333
912	0.9407396369	0.7179333333
913	0.9402839535	0.7176666667
914	0.939764855	0.718
915	0.9394000982	0.7178666667
916	0.938840248	0.7183333333
917	0.9385424239	0.7184
918	0.9382481281	0.7188666667
919	0.9376701199	0.7194
920	0.9372633143	0.7192666667
921	0.9367434744	0.7196
922	0.9364386084	0.7197333333
923	0.9360110285	0.7202
924	0.9355971291	0.7205333333
925	0.9352633831	0.7208666667
926	0.9350364817	0.7208666667
927	0.9345570369	0.7212
928	0.9339631882	0.7212666667
929	0.9333275346	0.7214
930	0.9330201179	0.7217333333
931	0.9326793515	0.7215333333
932	0.9324287557	0.7214666667
933	0.9320498664	0.7220666667
